spread_mean,spread_min,vol_early,vol_bar1,oi_bar4,rvol_4bar,price_mid_bar4,imbalance_bar4,range_early,price_level_abs50,vol_total,rvol_full,n_bars,market,pnl,won
0.012500000000000011,,39296,7488,26240,0.04938820567233115,0.805,60.99999999999996,0.56,0.30500000000000005,263006,0.07263599624446272,15,KXBTC15M-26MAR072330-30,221.25000000000003,1
0.01249999999999999,,34035,9796,19682,0.3130825822894471,0.155,-68.99999999999993,0.6199999999999999,0.345,105826,0.5464074634570464,15,KXBTC15M-26MAR080000-00,-98.3,0
0.015000000000000013,,31859,8145,18178,0.015567007924518995,0.905,80.99999999999993,0.39,0.405,110027,0.04893902182967654,15,KXBTC15M-26MAR080015-15,-131.4,0
0.017499999999999988,,33899,8755,20431,0.03204713800380757,0.715,14.333333333333318,0.4,0.21499999999999997,255553,0.8492862405459253,15,KXBTC15M-26MAR080115-15,258.82000000000005,1
0.020000000000000018,,16716,4169,10423,0.13630284014730887,0.715,14.333333333333318,0.69,0.21499999999999997,74428,0.09504103805504358,15,KXBTC15M-26MAR080315-15,123.04,1
0.020000000000000018,,22386,6411,11452,0.06063081335762302,0.505,1.0,0.88,0.0050000000000000044,77222,0.5931985189081262,15,KXBTC15M-26MAR080345-45,189.58999999999997,1
0.009999999999999992,,67377,19550,50632,0.06230945165157468,0.10500000000000001,-79.00000000000004,0.35000000000000003,0.395,197896,0.6210084141074045,15,KXBTC15M-26MAR080430-30,-317.9,0
0.010000000000000009,,22559,5705,13727,0.08797619775844533,0.355,-28.99999999999998,0.6799999999999999,0.14500000000000002,105750,0.7550373544654667,15,KXBTC15M-26MAR080600-00,168.60000000000002,1
0.017500000000000016,,20168,3919,13122,0.13670888626371297,0.645,9.666666666666659,0.8099999999999999,0.14500000000000002,80960,0.45117244202440077,15,KXBTC15M-26MAR080745-45,115.65,1
0.014999999999999986,,27528,3324,14497,0.1033377934064183,0.5700000000000001,7.000000000000034,0.51,0.07000000000000006,163965,0.9670909175632282,15,KXBTC15M-26MAR081030-30,98.2,1
0.010000000000000009,,33554,13064,20772,0.036818089718725154,0.625,24.99999999999998,0.56,0.125,145903,0.29213221694145447,15,KXBTC15M-26MAR081145-45,386.31000000000006,1
0.012499999999999997,,43523,11850,19831,0.17374957863862633,0.905,80.99999999999993,0.5,0.405,184750,0.11620063630471193,15,KXBTC15M-26MAR081315-15,-149.1,0
0.015000000000000013,,30042,7521,19354,0.06299212689894158,0.55,5.0,0.73,0.050000000000000044,138120,0.5959582885622859,15,KXBTC15M-26MAR081415-15,222.44000000000003,1
0.009999999999999953,,58750,12232,26623,0.011074725402201101,0.935,87.0000000000009,0.57,0.43500000000000005,153924,0.01922996773758975,15,KXBTC15M-26MAR081645-45,-317.6,0
0.017499999999999988,,30924,8255,16887,0.14191088604482,0.5549999999999999,3.6666666666666767,0.6399999999999999,0.05499999999999994,157427,0.4953549253277648,15,KXBTC15M-26MAR081700-00,244.02000000000004,1
0.015000000000000013,,25579,9267,14291,0.07144464339331913,0.535,7.0,0.58,0.03500000000000003,142734,0.577129378352436,15,KXBTC15M-26MAR081715-15,273.90000000000003,1
0.015,,21629,3885,11874,0.02543081744316707,0.625,24.99999999999998,0.63,0.125,200060,0.2532778129552213,15,KXBTC15M-26MAR081745-45,114.77000000000002,1
0.009999999999999998,,81070,23234,56188,0.4791922184113962,0.015,-97.0,0.55,0.485,240016,0.6169106335414362,15,KXBTC15M-26MAR081815-15,-334.3,0
0.012500000000000011,,30576,8251,19567,0.02437717638635829,0.885,76.99999999999993,0.6199999999999999,0.385,154358,0.11902420228791456,15,KXBTC15M-26MAR081900-00,527.4000000000001,1
0.012499999999999956,,38124,8317,15831,0.45337463015191,0.565,13.000000000000133,0.6399999999999999,0.06499999999999995,198447,0.6868224658412827,15,KXBTC15M-26MAR082030-30,245.80000000000004,1
0.010000000000000009,,27903,6000,19866,0.08029359351515182,0.945,88.99999999999991,0.45999999999999996,0.44499999999999995,108549,0.055448257638544794,15,KXBTC15M-26MAR082045-45,-88.9,0
0.012500000000000011,,36513,7608,18119,0.1642855437441552,0.505,1.0,0.68,0.0050000000000000044,205447,1.0406340593344274,15,KXBTC15M-26MAR082100-00,224.80000000000004,1
0.015000000000000013,,24408,5763,13584,0.11395595804546343,0.545,3.0,0.52,0.04500000000000004,195916,0.10072527636800788,15,KXBTC15M-26MAR082300-00,170.38000000000002,1
0.014999999999999958,,49040,10437,30660,0.17276804877020588,0.9299999999999999,43.0000000000002,0.9199999999999999,0.42999999999999994,113715,0.10221226681901441,15,KXBTC15M-26MAR082315-15,308.51000000000005,1
0.015000000000000013,,39188,8865,20821,0.12321902813660131,0.925,84.99999999999993,0.5499999999999999,0.42500000000000004,125543,0.08052730631882932,15,KXBTC15M-26MAR090145-45,-208.7,0
0.01999999999999999,,41679,14453,21468,0.23851868829565448,0.3,-19.999999999999982,0.56,0.2,217895,0.9858679159254605,15,KXBTC15M-26MAR090200-00,427.43000000000006,1
0.0175,,42077,9974,22405,0.22456895295902699,0.51,1.0,0.6499999999999999,0.010000000000000009,168590,0.7013000690472133,15,KXBTC15M-26MAR090230-30,294.91,1
0.012500000000000008,,59220,12885,28438,0.39289258771959523,0.07500000000000001,-85.00000000000006,0.6100000000000001,0.425,269262,0.49086919433118487,15,KXBTC15M-26MAR090330-30,370.0400000000001,1
0.015000000000000013,,35959,9534,18157,0.2044776228665835,0.53,3.0,0.5900000000000001,0.030000000000000027,183389,0.15738999704959283,15,KXBTC15M-26MAR090400-00,281.89000000000004,1
0.012500000000000011,,17711,3120,12129,0.07699935762555454,0.88,37.999999999999964,0.38,0.38,87056,0.10711060684386198,15,KXBTC15M-26MAR090530-30,-40.2,0
0.010000000000000009,,28192,5215,15147,0.1790572212841114,0.885,76.99999999999993,0.66,0.385,82519,0.18142672341599023,15,KXBTC15M-26MAR090545-45,-92.3,0
0.0125,,20661,5046,10827,0.25320764342329233,0.065,-86.99999999999991,0.5499999999999999,0.435,85651,0.39909841162845167,15,KXBTC15M-26MAR090730-30,-104.8,0
0.022500000000000006,,33856,6199,21289,0.27379839724956495,0.095,-27.000000000000004,0.47000000000000003,0.405,167482,0.49971062192223015,15,KXBTC15M-26MAR091245-45,358.2100000000001,1
0.010000000000000009,,39331,9495,14457,0.20940969355840525,0.895,78.99999999999993,0.5800000000000001,0.395,115721,0.14698304711106996,15,KXBTC15M-26MAR092030-30,-53.400000000000006,0
0.012499999999999997,,41176,6724,30204,0.187558280581106,0.135,-72.99999999999993,0.48999999999999994,0.365,194030,0.5755940304392171,15,KXBTC15M-26MAR092130-30,-61.400000000000006,0
0.009999999999999981,0.0,88001,30991,56514,0.013802411613663199,0.975,94.99999999999991,0.78,0.475,180052,0.012555979726990915,15,KXBTC15M-26MAR092245-45,-378.1,0
0.010000000000000002,0.0,74020,13329,38604,0.8046966250507384,0.025,-95.00000000000001,0.5,0.475,146342,0.601392094775357,15,KXBTC15M-26MAR100000-00,-370.4,0
0.0125,,28621,5599,13209,0.5765930082355792,0.07,-43.0,0.5,0.43,116002,0.4561078014673297,15,KXBTC15M-26MAR100945-45,-78.9,0
0.015000000000000013,,22430,3147,8370,0.07864156469740484,0.88,37.999999999999964,0.45000000000000007,0.38,91074,0.795873810491388,15,KXBTC15M-26MAR110600-00,179.25000000000003,1
0.012500000000000011,,40015,5530,18520,0.18230759872751973,0.92,41.999999999999964,0.45999999999999996,0.42000000000000004,112134,0.11466814903011474,15,KXBTC15M-26MAR110945-45,-78.30000000000001,0
0.017500000000000016,,40228,4561,19719,0.30560283206265465,0.825,64.99999999999993,0.43999999999999995,0.32499999999999996,229714,0.5702018023757635,15,KXBTC15M-26MAR111015-15,782.96,1
0.012500000000000011,,44835,5730,16810,0.5891572538133867,0.19,-30.99999999999998,0.48999999999999994,0.31,104261,0.45891329304256,15,KXBTC15M-26MAR111115-15,-194.8,0
0.01750000000000001,,20694,5925,13958,0.13540915387568084,0.095,-80.99999999999993,0.46,0.405,97867,0.6067309953759296,15,KXBTC15M-26MAR111145-45,166.25999999999996,1
0.009999999999999981,,39393,6943,24044,0.12203702056421442,0.935,87.0000000000009,0.44999999999999996,0.43500000000000005,99699,0.08265998948851637,15,KXBTC15M-26MAR111315-15,-134.0,0
0.010000000000000009,,37037,12628,26671,0.06087701977026373,0.835,66.99999999999993,0.44999999999999996,0.33499999999999996,128143,0.04741541858662923,15,KXBTC15M-26MAR111915-15,-126.2,0
0.012500000000000011,,52528,12762,34812,0.159603356231522,0.065,-86.99999999999991,0.49000000000000005,0.435,153234,0.39399441074742336,15,KXBTC15M-26MAR112115-15,-144.20000000000002,0
0.0175,,38422,9283,16719,0.24227531351900405,0.905,80.99999999999993,0.52,0.405,112467,0.1420260806096629,15,KXBTC15M-26MAR112345-45,-135.1,0
0.012500000000000004,,47132,7622,31219,0.282988672362626,0.055,-89.00000000000003,0.51,0.445,203169,0.5568555922236853,15,KXBTC15M-26MAR120000-00,-241.5,0
0.015000000000000013,,36729,7902,21992,0.1179860562111399,0.865,72.99999999999993,0.37,0.365,147260,0.07396419651184899,15,KXBTC15M-26MAR120015-15,-58.3,0
0.04249999999999999,,18871,4513,10935,0.5873691574159184,0.035,-92.99999999999997,0.87,0.46499999999999997,44634,0.6531667382218816,15,KXBTC15M-26MAR120600-00,-96.4,0
0.01999999999999999,,29256,7715,16520,0.08377000172234385,0.845,22.99999999999998,0.77,0.345,120882,0.5716878219583973,15,KXBTC15M-26MAR120900-00,259.7,1
0.0125,,32674,6295,18111,0.16577784441100132,0.095,-80.99999999999993,0.48999999999999994,0.405,84550,0.4245293284220421,15,KXBTC15M-26MAR120930-30,-157.0,0
0.024999999999999994,,23071,7965,13063,0.36188318444846335,0.22999999999999998,-27.000000000000014,0.45,0.27,116090,0.4588767206547117,15,KXBTC15M-26MAR121000-00,271.24,1
0.022499999999999992,,29079,6149,17475,0.038785880852062055,0.915,27.666666666666643,0.71,0.41500000000000004,104318,0.030922538837088502,15,KXBTC15M-26MAR121015-15,-129.4,0
0.012500000000000011,,37266,9295,22155,0.10391479512367488,0.86,35.999999999999964,0.43000000000000005,0.36,96756,0.062347103381304746,15,KXBTC15M-26MAR121715-15,-193.3,0
0.015000000000000013,,56328,19089,30411,0.07331408317902341,0.925,84.99999999999993,0.36,0.42500000000000004,176262,0.051229226655999924,15,KXBTC15M-26MAR121915-15,-347.8,0
0.014999999999999986,,81777,15113,43297,0.035895739960245004,0.885,76.99999999999993,0.49,0.385,216540,0.03470257936177928,15,KXBTC15M-26MAR122030-30,-352.9,0
0.012499999999999983,,43675,9707,29809,0.03341087285316745,0.945,88.99999999999991,0.57,0.44499999999999995,234298,0.022511815289447464,15,KXBTC15M-26MAR122045-45,-339.6,0
0.012500000000000011,,34664,10948,19107,0.055222916231340284,0.905,80.99999999999993,0.43000000000000005,0.405,142386,0.07828988402837825,15,KXBTC15M-26MAR130430-30,-84.60000000000001,0
0.009999999999999998,,34277,8430,19534,0.42972685891622536,0.185,-62.99999999999996,0.41000000000000003,0.315,120392,0.4302556553512008,15,KXBTC15M-26MAR130500-00,-153.0,0
0.010000000000000009,,48836,7213,26109,0.24242818272911432,0.795,58.99999999999996,0.55,0.29500000000000004,135404,0.1306288196126248,15,KXBTC15M-26MAR130615-15,-334.0,0
0.012500000000000011,,45605,11932,20845,0.2803090066337352,0.895,78.99999999999993,0.45,0.395,134390,0.18348846790923487,15,KXBTC15M-26MAR130630-30,-127.6,0
0.009999999999999981,,36444,7458,25246,0.07433845547735227,0.975,94.99999999999991,0.5,0.475,98255,0.04222115501850539,15,KXBTC15M-26MAR130900-00,-289.6,0
0.010000000000000009,,40688,6519,16387,0.2509657337415603,0.925,84.99999999999993,0.6199999999999999,0.42500000000000004,203931,0.18053201618082207,15,KXBTC15M-26MAR130930-30,-150.6,0
0.012499999999999994,,47895,11018,28720,0.45246902287997387,0.11499999999999999,-77.00000000000004,0.49,0.385,261780,0.5274594349895139,15,KXBTC15M-26MAR131430-30,-137.5,0
0.009999999999999995,,35046,9429,24562,0.22918934785007672,0.135,-72.99999999999993,0.39,0.365,154856,0.5371638589390902,15,KXBTC15M-26MAR131500-00,-76.9,0
0.014999999999999986,,46632,8565,23729,0.08389497546310673,0.865,72.99999999999993,0.48000000000000004,0.365,153288,0.07965339420526035,15,KXBTC15M-26MAR131700-00,-203.8,0
0.0125,,114406,11386,61508,0.3967643976558912,0.035,-92.99999999999997,0.74,0.46499999999999997,240750,0.692337928767314,15,KXBTC15M-26MAR131815-15,-307.20000000000005,0
0.010000000000000005,,58161,14905,38107,0.29517563231473687,0.11499999999999999,-77.00000000000004,0.34,0.385,159244,0.3593067226828181,15,KXBTC15M-26MAR132015-15,-301.0,0
0.014999999999999986,,55116,12750,24203,0.06541004624020848,0.885,76.99999999999993,0.4,0.385,247670,0.19300427473890533,15,KXBTC15M-26MAR132330-30,757.83,1
0.010000000000000005,,46462,8242,28601,0.6064895276678286,0.055,-89.00000000000003,0.45,0.445,128192,0.5389522916468388,15,KXBTC15M-26MAR140145-45,-212.2,0
0.017499999999999988,,35088,8404,17495,0.16791327266246459,0.135,-24.333333333333332,0.45000000000000007,0.365,110981,0.3597514710872674,15,KXBTC15M-26MAR140230-30,-65.7,0
0.020000000000000018,,32459,10479,13824,0.1260804846431983,0.835,22.33333333333331,0.47000000000000003,0.33499999999999996,73273,0.07474737684394887,15,KXBTC15M-26MAR140300-00,-54.400000000000006,0
0.010000000000000002,,49836,3067,22408,0.545835336063467,0.155,-68.99999999999993,0.52,0.345,174624,0.5278103544886709,15,KXBTC15M-26MAR140545-45,-174.3,0
0.010000000000000007,,40502,3754,20259,0.408856555222655,0.035,-92.99999999999997,0.54,0.46499999999999997,158317,0.7179997855407073,15,KXBTC15M-26MAR140600-00,-299.6,0
0.012499999999999997,,20409,2845,11089,0.12257293790201498,0.13,-36.999999999999964,0.43,0.37,91851,0.6903416848236575,15,KXBTC15M-26MAR141000-00,172.15000000000003,1
0.010000000000000009,,34213,5798,14155,0.2743454913758603,0.865,72.99999999999993,0.55,0.365,122964,0.1638283335226303,15,KXBTC15M-26MAR141115-15,-122.5,0
0.012500000000000004,,33514,8536,21820,0.32863639107236026,0.15000000000000002,-35.000000000000014,0.43,0.35,104186,0.4111573215543851,15,KXBTC15M-26MAR141145-45,-100.4,0
0.010000000000000009,,47616,4833,39655,0.08184425666687409,0.955,90.99999999999991,0.48,0.45499999999999996,151413,0.055841682659003966,15,KXBTC15M-26MAR141915-15,-292.40000000000003,0
0.010000000000000009,,32162,7495,19707,0.16107684719534793,0.165,-66.99999999999993,0.47,0.33499999999999996,118998,0.5409649408197532,15,KXBTC15M-26MAR142100-00,-69.4,0
0.010000000000000009,,83833,10860,51115,0.11859988323863116,0.905,80.99999999999993,0.49,0.405,170424,0.05944815799630704,15,KXBTC15M-26MAR142215-15,-285.1,0
0.012500000000000011,,45777,9743,25170,0.09820562739437692,0.905,80.99999999999993,0.44999999999999996,0.405,187504,0.08649139893765458,15,KXBTC15M-26MAR142300-00,-184.8,0
0.010000000000000009,,53708,7871,30485,0.14066104085493625,0.945,88.99999999999991,0.55,0.44499999999999995,197063,0.08792952093153178,15,KXBTC15M-26MAR150130-30,-275.5,0
0.012499999999999983,,29813,6887,18882,0.05813132675728863,0.9,39.999999999999964,0.43000000000000005,0.4,114570,0.08095953160362522,15,KXBTC15M-26MAR150500-00,-175.2,0
0.010000000000000009,,35973,11374,23584,0.021035996394157867,0.955,90.99999999999991,0.49,0.45499999999999996,76578,0.013925101763062336,15,KXBTC15M-26MAR150515-15,-266.4,0
0.015000000000000013,,20624,9225,17511,0.029260484101092655,0.905,80.99999999999993,0.74,0.405,53448,0.01743347312082858,15,KXBTC15M-26MAR150800-00,-69.0,0
0.0125,,13289,1733,8779,0.4922366917694198,0.14500000000000002,-71.00000000000013,0.4600000000000001,0.355,46632,0.3596115398642826,15,KXBTC15M-26MAR150815-15,-82.2,0
0.010000000000000009,,29890,10549,14352,0.13488787785925913,0.355,-28.99999999999998,0.6300000000000001,0.14500000000000002,150915,0.40607284149135925,15,KXBTC15M-26MAR150945-45,311.76,1
