market,side,action,qty,entry_price,exit_price,pnl,bankroll,ts,won
KXBTC15M-26JAN091045-45,no,buy_fill,63,0.1,,-6.4,1412.800000000007,1767972840.0,
KXBTC15M-26JAN091045-45,no,sell_fill,63,0.1,0.4,18.630000000000003,1437.730000000007,1767973020.0,
KXBTC15M-26JAN091100-00,yes,buy_fill,8,0.1,,-0.8200000000000001,1436.9100000000071,1767973560.0,
KXBTC15M-26JAN091100-00,yes,sell_fill,8,0.1,0.4,2.3600000000000003,1440.0700000000072,1767973620.0,
KXBTC15M-26JAN091230-30,yes,buy_fill,17,0.1,,-1.7300000000000002,1438.3400000000072,1767978960.0,
KXBTC15M-26JAN091230-30,yes,buy_fill,72,0.1,,-7.32,1431.0200000000073,1767979080.0,
KXBTC15M-26JAN091230-30,yes,buy_fill,48,0.1,,-4.880000000000001,1426.1400000000071,1767979140.0,
KXBTC15M-26JAN091230-30,yes,settlement,137,0.1,0.0,-13.700000000000001,1426.1400000000071,,False
KXBTC15M-26JAN091300-00,no,buy_fill,66,0.1,,-6.710000000000001,1419.430000000007,1767980880.0,
KXBTC15M-26JAN091300-00,no,buy_fill,76,0.1,,-7.720000000000001,1411.710000000007,1767980940.0,
KXBTC15M-26JAN091300-00,no,settlement,142,0.1,0.0,-14.200000000000001,1411.710000000007,,False
KXBTC15M-26JAN091315-15,yes,buy_fill,43,0.1,,-4.37,1407.3400000000072,1767981660.0,
KXBTC15M-26JAN091315-15,yes,sell_fill,39,0.09999999999999999,0.4,11.530000000000001,1422.7700000000073,1767981720.0,
KXBTC15M-26JAN091315-15,yes,sell_fill,4,0.09999999999999999,0.4,1.1800000000000002,1424.3500000000072,1767981780.0,
KXBTC15M-26JAN091330-30,yes,buy_fill,48,0.1,,-4.880000000000001,1419.470000000007,1767982740.0,
KXBTC15M-26JAN091330-30,yes,settlement,48,0.10000000000000002,0.0,-4.800000000000001,1419.470000000007,,False
KXBTC15M-26JAN091430-30,yes,buy_fill,23,0.1,,-2.3400000000000003,1417.1300000000072,1767986160.0,
KXBTC15M-26JAN091430-30,yes,sell_fill,23,0.1,0.4,6.800000000000002,1426.230000000007,1767986220.0,
KXBTC15M-26JAN091500-00,no,buy_fill,63,0.1,,-6.4,1419.830000000007,1767988080.0,
KXBTC15M-26JAN091500-00,no,buy_fill,26,0.1,,-2.65,1417.1800000000069,1767988140.0,
KXBTC15M-26JAN091500-00,no,sell_fill,89,0.1,0.4,26.320000000000004,1452.400000000007,1767988620.0,
KXBTC15M-26JAN091515-15,no,buy_fill,7,0.1,,-0.7200000000000001,1451.6800000000069,1767988860.0,
KXBTC15M-26JAN091515-15,no,sell_fill,7,0.1,0.4,2.0700000000000007,1454.4500000000069,1767988920.0,
KXBTC15M-26JAN091630-30,no,buy_fill,19,0.1,,-1.9300000000000002,1452.5200000000068,1767993360.0,
KXBTC15M-26JAN091630-30,no,sell_fill,19,0.1,0.4,5.620000000000001,1460.0400000000068,1767993420.0,
KXBTC15M-26JAN091645-45,yes,buy_fill,9,0.1,,-0.92,1459.1200000000067,1767994260.0,
KXBTC15M-26JAN091645-45,yes,sell_fill,9,0.1,0.4,2.66,1462.6800000000067,1767994320.0,
KXBTC15M-26JAN091815-15,no,buy_fill,26,0.1,,-2.65,1460.0300000000066,1767999660.0,
KXBTC15M-26JAN091815-15,no,sell_fill,26,0.1,0.4,7.69,1470.3200000000065,1767999720.0,
KXBTC15M-26JAN091830-30,yes,buy_fill,10,0.1,,-1.02,1469.3000000000065,1768000560.0,
KXBTC15M-26JAN091830-30,yes,sell_fill,10,0.1,0.4,2.9500000000000006,1473.2500000000066,1768000620.0,
KXBTC15M-26JAN091900-00,yes,buy_fill,3,0.1,,-0.31000000000000005,1472.9400000000066,1768002360.0,
KXBTC15M-26JAN091900-00,yes,sell_fill,3,0.10000000000000002,0.4,0.8799999999999999,1474.1200000000067,1768002420.0,
KXBTC15M-26JAN091915-15,no,buy_fill,1,0.1,,-0.11,1474.0100000000068,1768003260.0,
KXBTC15M-26JAN091915-15,no,sell_fill,1,0.1,0.4,0.29000000000000004,1474.400000000007,1768003320.0,
KXBTC15M-26JAN092045-45,no,buy_fill,12,0.1,,-1.2200000000000002,1473.1800000000069,1768008660.0,
KXBTC15M-26JAN092045-45,no,sell_fill,12,0.10000000000000002,0.4,3.5399999999999996,1477.920000000007,1768008720.0,
KXBTC15M-26JAN092100-00,yes,buy_fill,13,0.1,,-1.33,1476.590000000007,1768009560.0,
KXBTC15M-26JAN092100-00,yes,sell_fill,13,0.1,0.4,3.8400000000000003,1481.730000000007,1768009620.0,
KXBTC15M-26JAN092215-15,no,buy_fill,10,0.1,,-1.02,1480.710000000007,1768014060.0,
KXBTC15M-26JAN092215-15,no,sell_fill,10,0.1,0.4,2.9500000000000006,1484.6600000000071,1768014120.0,
KXBTC15M-26JAN092230-30,no,buy_fill,8,0.1,,-0.8200000000000001,1483.8400000000072,1768014960.0,
KXBTC15M-26JAN092230-30,no,sell_fill,8,0.1,0.4,2.3600000000000003,1487.0000000000073,1768015020.0,
KXBTC15M-26JAN092245-45,no,buy_fill,13,0.1,,-1.33,1485.6700000000073,1768015860.0,
KXBTC15M-26JAN092245-45,no,sell_fill,13,0.1,0.4,3.8400000000000003,1490.8100000000074,1768015920.0,
KXBTC15M-26JAN092345-45,no,buy_fill,2,0.1,,-0.21000000000000002,1490.6000000000074,1768019460.0,
KXBTC15M-26JAN092345-45,no,sell_fill,2,0.1,0.4,0.5900000000000001,1491.3900000000074,1768019520.0,
KXBTC15M-26JAN100330-30,yes,buy_fill,23,0.1,,-2.3400000000000003,1489.0500000000075,1768033140.0,
KXBTC15M-26JAN100330-30,yes,sell_fill,23,0.1,0.4,6.800000000000002,1498.1500000000074,1768033380.0,
KXBTC15M-26JAN100600-00,no,buy_fill,12,0.1,,-1.2200000000000002,1496.9300000000073,1768041960.0,
KXBTC15M-26JAN100600-00,no,sell_fill,8,0.10000000000000002,0.4,2.36,1500.0900000000074,1768042020.0,
KXBTC15M-26JAN100600-00,no,sell_fill,4,0.10000000000000002,0.4,1.18,1501.6700000000073,1768042320.0,
