market,first_plot_ts,last_plot_ts,open_ts,open_day,hour_utc,start_br,end_br,contrib,pnl_exit,first_buy_ts,first_second_fill,fill_first_minute,has_open_ts
KXBTC15M-26JAN161830-30,1768605540.0,1768605660.0,1768605300,2026-01-16,23,1767.2800000000077,1800.5100000000075,33.22999999999979,33.41000000000001,1768605540.0,False,False,True
KXBTC15M-26JAN161900-00,1768607340.0,1768607400.0,1768607100,2026-01-16,23,1800.5100000000075,1798.3700000000076,-2.1399999999998727,-2.1,1768607340.0,False,False,True
KXBTC15M-26JAN170115-15,1768629840.0,1768629900.0,1768629600,2026-01-17,6,1798.3700000000076,1778.3500000000076,-20.019999999999982,-19.700000000000003,1768629840.0,False,False,True
KXBTC15M-26JAN170200-00,1768632360.0,1768632540.0,1768632300,2026-01-17,6,1778.3500000000076,1785.9900000000075,7.639999999999873,7.69,1768632360.0,False,True,True
KXBTC15M-26JAN170215-15,1768633320.0,1768633500.0,1768633200,2026-01-17,7,1785.9900000000075,1775.1000000000076,-10.889999999999873,-10.7,1768633320.0,False,False,True
KXBTC15M-26JAN170300-00,1768636140.0,1768636500.0,1768635900,2026-01-17,7,1775.1000000000076,1790.2000000000075,15.099999999999909,15.360000000000007,1768636140.0,False,False,True
KXBTC15M-26JAN170430-30,1768641480.0,1768641900.0,1768641300,2026-01-17,9,1790.2000000000075,1808.1400000000076,17.940000000000055,18.040000000000003,1768641480.0,False,False,True
KXBTC15M-26JAN170830-30,1768655880.0,1768656000.0,1768655700,2026-01-17,13,1808.1400000000076,1797.8700000000076,-10.269999999999982,-10.1,1768655880.0,False,False,True
KXBTC15M-26JAN171600-00,1768682940.0,1768683000.0,1768682700,2026-01-17,20,1797.8700000000076,1788.0100000000075,-9.860000000000127,-9.7,1768682940.0,False,False,True
KXBTC15M-26JAN171800-00,1768690020.0,1768690320.0,1768689900,2026-01-17,22,1788.0100000000075,1808.0000000000075,19.99000000000001,20.1,1768690020.0,False,False,True
KXBTC15M-26JAN172045-45,1768699920.0,1768700220.0,1768699800,2026-01-18,1,1808.0000000000075,1862.100000000008,54.10000000000059,54.400000000000006,1768699920.0,False,False,True
KXBTC15M-26JAN172130-30,1768702680.0,1768703400.0,1768702500,2026-01-18,2,1862.100000000008,1875.3400000000076,13.239999999999554,13.370000000000003,1768702680.0,False,False,True
KXBTC15M-26JAN172145-45,1768703580.0,1768703700.0,1768703400,2026-01-18,2,1875.3400000000076,1854.4000000000076,-20.940000000000055,-20.6,1768703580.0,False,False,True
KXBTC15M-26JAN172330-30,1768709880.0,1768709940.0,1768709700,2026-01-18,4,1854.4000000000076,1848.3000000000077,-6.099999999999909,-6.0,1768709880.0,False,False,True
KXBTC15M-26JAN180100-00,1768715220.0,1768715580.0,1768715100,2026-01-18,5,1848.3000000000077,1868.880000000008,20.580000000000382,20.700000000000003,1768715220.0,False,False,True
KXBTC15M-26JAN180515-15,1768730640.0,1768730700.0,1768730400,2026-01-18,10,1868.880000000008,1864.410000000008,-4.470000000000027,-4.4,1768730640.0,False,False,True
KXBTC15M-26JAN180730-30,1768738740.0,1768738920.0,1768738500,2026-01-18,12,1864.410000000008,1877.930000000008,13.519999999999982,13.600000000000003,1768738740.0,False,False,True
KXBTC15M-26JAN180930-30,1768745880.0,1768746180.0,1768745700,2026-01-18,14,1877.930000000008,1903.5200000000077,25.58999999999969,25.730000000000004,1768745880.0,False,False,True
KXBTC15M-26JAN181815-15,1768777380.0,1768777500.0,1768777200,2026-01-18,23,1903.5200000000077,1864.910000000008,-38.60999999999967,-38.0,1768777380.0,False,False,True
KXBTC15M-26JAN181900-00,1768780020.0,1768780080.0,1768779900,2026-01-18,23,1864.910000000008,1827.120000000008,-37.789999999999964,-37.2,1768780020.0,False,False,True
KXBTC15M-26JAN181915-15,1768780860.0,1768780980.0,1768780800,2026-01-19,0,1827.120000000008,1790.040000000008,-37.080000000000155,-36.5,1768780860.0,False,True,True
KXBTC15M-26JAN181930-30,1768781760.0,1768781820.0,1768781700,2026-01-19,0,1790.040000000008,1839.160000000008,49.12000000000012,49.39000000000001,1768781760.0,False,True,True
KXBTC15M-26JAN181945-45,1768782660.0,1768782720.0,1768782600,2026-01-19,0,1839.160000000008,1848.560000000008,9.399999999999864,9.46,1768782660.0,False,True,True
KXBTC15M-26JAN182100-00,1768787160.0,1768787880.0,1768787100,2026-01-19,1,1848.560000000008,1888.270000000008,39.710000000000036,39.93000000000001,1768787160.0,False,True,True
KXBTC15M-26JAN182145-45,1768789860.0,1768789920.0,1768789800,2026-01-19,2,1888.270000000008,1895.910000000008,7.6400000000001,7.69,1768789860.0,False,True,True
